Nome: PRESIDENTE PRUDENTE
Codigo Estacao: A707
Latitude: -22.11999999
Longitude: -51.40861111
Altitude: 431.92
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;963;1012;963,1;962,1;-3,4;28;25,2;20,4;26;25,2;20,4;19,9;12,5;75;69;75;78;4,7;1,4;
2023-01-01;0100;0;963,4;1012,5;963,4;962,9;-3,5;27;24,6;21,3;25,2;24,5;21,3;20,4;12,5;82;75;82;64;3,5;1,3;
2023-01-01;0200;0;963,5;1012,7;963,7;963,3;-3,5;26;24,3;21,2;24,7;24,3;21,3;21;12,5;83;80;83;61;2,8;1,2;
2023-01-01;0300;0;963,6;1012,8;963,6;963,4;-3,5;26;24,2;21;24,3;24,1;21,3;20,8;12,5;83;81;82;56;2,5;1,2;
2023-01-01;0400;0;963,2;1012,5;963,6;963,2;-3,5;26;23,9;20,8;24,3;23,9;21;20,7;12,5;83;82;83;56;3,9;1,7;
2023-01-01;0500;0;962,5;1011,8;963,2;962,5;-3,5;25;23,7;21;23,9;23,5;21;20,7;12,5;85;83;85;41;3,5;1,1;
2023-01-01;0600;0;962;1011,3;962,5;962;-3,5;25;23,3;23,1;23,7;23,3;23,1;20,8;12,4;99;85;99;83;2,8;,8;
2023-01-01;0700;0;962;1011,3;962;961,9;-3,5;24;23,1;23,1;23,3;23;23,2;23;12,4;100;99;100;78;3,2;,8;
2023-01-01;0800;0;962,2;1011,6;962,2;962;-3,5;24;22,8;22,8;23,1;22,8;23,1;22,8;12,4;100;100;100;75;3,1;,9;
2023-01-01;0900;0;963;1012,5;963;962,2;2,3;24;22,6;null;22,9;22,3;null;null;12,4;null;null;null;45;2,5;,9;
2023-01-01;1000;0;963,6;1012,9;963,6;963;148,7;24;23,7;23,7;23,7;22,6;null;null;12,5;null;null;100;56;2,8;,7;
2023-01-01;1100;0;964,2;1013,3;964,2;963,5;280,5;25;25,1;21,3;25,1;23,7;23,8;20,8;12,9;100;78;80;50;3,4;,9;
2023-01-01;1200;0;964,6;1013,4;964,6;964,2;243,5;27;27;20,7;27,1;25;21,6;20,7;13,2;80;68;69;70;3,5;,9;
2023-01-01;1300;0;964,6;1013,2;964,7;964,5;1055,2;29;28,5;20,2;28,9;26,8;21,1;19,1;13,7;69;58;61;47;4,3;,9;
2023-01-01;1400;0;964,4;1012,7;964,6;964,4;1940;30;29,7;19,9;29,7;28,3;20,7;19;13,9;62;54;56;51;6,1;1,1;
