Nome: VALPARAISO
Codigo Estacao: A734
Latitude: -21.31916666
Longitude: -50.93027777
Altitude: 381.9
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;null;969,1;1012,6;969,2;968,3;-3,5;27;25,1;21,5;25,9;25,1;21,7;21,5;12,5;81;77;81;91;6,9;3,9;
2023-01-01;0100;null;969,7;1013,4;969,7;969,1;-3,5;26;24,3;21,4;25,1;24,3;21,5;21,3;12,5;84;81;84;1;6,1;,5;
2023-01-01;0200;null;970;1013,6;970,2;969,7;-3,5;26;24,8;21,8;24,8;23,9;22,2;21,4;12,5;88;84;84;48;6,6;3,9;
2023-01-01;0300;null;969,6;1013,4;970,1;969,6;-3,2;25;23,3;20,3;24,8;23,3;21,8;20,3;12,4;84;80;83;36;7;1,9;
2023-01-01;0400;null;969,1;1012,9;969,6;969,1;-3,5;25;23;20,5;23,3;22,6;20,6;20,2;12,4;87;83;86;50;3,5;1,7;
2023-01-01;0500;null;968,7;1012,7;969,1;968,7;-3,5;24;21,9;20,3;23;21,9;20,7;20,3;12,4;91;86;90;360;2,5;,7;
2023-01-01;0600;null;968,2;1012,1;968,7;968,1;-3,5;23;22,5;20,9;22,6;21,9;21;20,3;12,4;92;90;91;49;2,4;1,3;
2023-01-01;0700;null;968,6;1012,6;968,6;968,1;-3,5;23;22,1;20,7;22,5;22,1;21;20,6;12,4;92;91;92;84;2,1;0;
2023-01-01;0800;null;968,5;1012,5;968,6;968,4;-3,5;23;21,9;20,7;22,2;21,8;20,8;20,6;12,3;93;92;93;84;2,5;1,8;
2023-01-01;0900;null;969,3;1013,3;969,3;968,5;5,1;23;22;20,8;22,1;21,8;20,9;20,6;12,3;93;93;93;61;3,7;1,9;
2023-01-01;1000;null;969,7;1013,5;969,8;969,3;315,2;23;23,7;21,4;23,7;22;21,5;20,8;12,4;93;87;87;79;3,1;1,8;
2023-01-01;1100;null;970,1;1013,5;970,1;969,7;1134,2;25;26,1;21,4;26,2;23,7;22,3;21,2;13;87;75;75;47;4,2;2,6;
2023-01-01;1200;null;970,9;1014,1;970,9;970,1;1971,6;28;28;21,4;28;26,1;21,6;20,6;13,2;75;65;67;8;6,9;2,9;
2023-01-01;1300;null;970,8;1013,7;970,9;970,7;2709,4;30;29,6;20,8;29,8;27,8;21,4;20,4;13,4;67;58;59;11;6,3;2,9;
2023-01-01;1400;null;970,4;1013,1;970,8;970,4;3447,6;31;31;20,5;31,6;29,4;21,9;19,9;13,4;61;52;54;18;6,2;2,7;
2023-01-01;1500;null;969,9;1012,6;970,4;969,9;2962,8;33;31,1;21,2;31,9;30,5;22,2;19,9;13,3;60;51;56;338;5,8;1,4;
2023-01-01;1600;null;969,2;1011,7;969,9;969,2;3101;34;31,9;19,8;32,7;30,9;21,6;19,2;13,4;56;47;49;302;5,3;2;
2023-01-01;1700;null;967,8;1010,1;969,2;967,8;3540,1;35;33,2;18,4;33,4;31,6;21,2;17,4;13,4;53;39;42;11;6,6;1,3;
2023-01-01;1800;null;966,9;1009,1;967,9;966,9;3256,1;36;33,9;18,3;34;32,9;19,8;16,7;13,3;44;37;40;1;4,4;,9;
2023-01-01;1900;null;966,4;1008,6;966,9;966,3;2439,4;36;33,2;18,6;34,6;32,4;20,4;17,8;13;47;40;42;67;4,2;,8;
2023-01-01;2000;null;966,3;1009;966,6;966,1;654;35;30;20,7;33,2;29,9;20,7;18,2;12,7;58;42;58;323;8,4;1,7;
2023-01-01;2100;null;966,9;1010,3;967,1;966,1;526,3;32;25,5;20;30,1;25,5;21,7;19,1;12,6;72;57;72;107;10,2;5,2;
2023-01-01;2200;null;966,2;1009,6;966,9;966,2;110,7;28;25,1;20,7;25,5;24,5;20,7;19,8;12,5;78;72;77;301;8,7;,5;
2023-01-01;2300;null;966,9;1010,3;966,9;966,2;9,2;27;25,1;20,7;25,3;24,6;21,5;20,7;12,5;83;76;77;104;4,6;2,9;
2023-01-02;0000;null;967,7;1011,3;967,7;966,9;-3,5;26;24,5;20,6;25,3;24,5;20,7;20,5;12,5;79;75;79;74;4,8;1,6;
2023-01-02;0100;null;968,6;1012,3;968,7;967,8;-3,5;25;24;21;24,5;23,9;21;20,4;12,5;83;79;83;82;2,8;,5;
2023-01-02;0200;null;968,4;1012,1;969;968,4;-3,5;25;24;21,2;24,2;23,5;21,2;20,9;12,4;86;82;84;94;4;2,2;
2023-01-02;0300;null;968;1011,8;968,4;968;-3,5;25;23,2;20,9;24,3;23,1;21,1;20,7;12,4;87;82;87;278;4;0;
2023-01-02;0400;null;967,7;1011,5;968,1;967,7;-3,5;24;23;20,9;23,2;23;21,3;20,9;12,4;89;87;88;264;0;0;
2023-01-02;0500;null;967,5;1011,3;967,7;967,3;-3,5;24;22,8;21,2;23;22,3;21,2;20,8;12,4;91;88;91;60;1,8;,1;
2023-01-02;0600;null;967;1010,9;967,6;966,9;-3,5;23;22,3;20,8;22,8;22,3;21,1;20,8;12,4;91;90;91;312;1,9;0;
2023-01-02;0700;null;967,3;1011,1;967,3;966,9;-3,5;23;22,8;21;23;22,4;21,1;20,8;12,3;91;89;90;148;3,3;0;
2023-01-02;0800;null;967,4;1011,2;967,4;966,9;-3,5;23;22,7;21,2;22,8;22,3;21,3;20,8;12,3;92;90;91;36;1,9;0;
2023-01-02;0900;null;967,9;1011,8;967,9;967,4;4,6;23;22;20,7;22,7;22;21,4;20,6;12,3;92;91;92;188;2,8;1,6;
2023-01-02;1000;null;968,3;1012;968,5;967,9;249,5;24;23,8;21,9;23,8;22;21,9;20,7;12,5;93;90;90;81;2,8;1,3;
2023-01-02;1100;null;968,5;1011,8;968,5;968,2;928,2;25;26,3;22,4;26,3;23,8;22,8;21,9;12,8;90;79;79;360;4,9;2;
