Nome: JOSE BONIFACIO
Codigo Estacao: A735
Latitude: -21.08555555
Longitude: -49.92027777
Altitude: 408.35
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;966,7;1013,3;966,7;965,9;-2,5;26;24,2;21,7;24,4;23,8;22,2;21,7;12,8;89;86;86;124;3,3;1,4;
2023-01-01;0100;0;966,7;1013,3;966,8;966,6;-3,5;25;24,1;21,6;24,6;24;21,8;21,6;12,8;87;84;86;79;4,8;2,4;
2023-01-01;0200;0;967,1;1013,8;967,3;966,7;-3,5;25;23,9;21,4;24,7;23,8;21,7;21;12,7;88;80;86;14;5,6;2,3;
2023-01-01;0300;0;966,4;1013,1;967,1;966,4;-3,5;25;23,4;21,4;23,9;23,2;21,4;21,1;12,7;89;86;89;23;3,7;,9;
2023-01-01;0400;0;965,9;1012,7;966,4;965,9;-3,5;24;22,7;21,3;23,4;22,7;21,5;21,2;12,7;92;89;92;286;1,9;,7;
2023-01-01;0500;0;965,5;1012,4;965,9;965,5;-3,5;24;22,3;21,3;22,7;22,1;21,4;21;12,7;94;92;94;98;1,3;,5;
2023-01-01;0600;0;965,3;1012,1;965,6;965,3;-3,2;24;22,6;21,5;22,8;22,3;21,7;21,3;12,7;94;94;94;120;3,1;1,4;
2023-01-01;0700;0;965,3;1012,2;965,3;965,1;-3,5;23;22,2;21,2;22,7;22,2;21,7;21,2;12,7;94;94;94;117;2,3;,4;
2023-01-01;0800;0;965,5;1012,4;965,5;965,3;-3;23;21,9;21,1;22,2;21,8;21,3;21;12,6;95;94;95;84;1,6;,9;
2023-01-01;0900;0;966,2;1013,2;966,2;965,5;13,3;23;21,8;21,1;22;21,5;21,2;20,7;12,6;96;95;96;45;1,6;,3;
2023-01-01;1000;0;966,7;1013,4;966,7;966,2;414,4;23;23,5;22;23,6;21,8;22,6;21,1;12,7;96;91;91;102;2,2;1,2;
2023-01-01;1100;0;967,1;1013,6;967,1;966,7;1288,8;25;25,4;21,6;25,5;23,5;22,2;21,5;13,1;91;80;80;62;3,7;1,7;
2023-01-01;1200;0;967,7;1013,9;967,8;967,1;2161,1;27;27;21,4;27,5;25,3;22,5;21,3;13,2;81;71;71;51;4,1;1,9;
2023-01-01;1300;0;967,7;1013,7;967,8;967,6;2968,5;29;28,8;20,2;29;26,9;22,2;20;13,3;73;60;60;25;4,9;1,9;
2023-01-01;1400;0;967,2;1012,9;967,7;967,2;3545,1;31;30,1;20,9;30,3;28,6;22,1;19,6;13,2;63;57;58;21;4,4;1,7;
2023-01-01;1500;0;966,6;1012,1;967,2;966,5;3849;33;31,3;21,4;31,3;29,6;22;19,9;13,2;61;53;56;80;5,2;1,7;
2023-01-01;1600;0;965,8;1011,2;966,6;965,8;2982;33;31,7;21,2;32,2;30;22,1;19,7;13,1;59;51;54;133;4,8;,9;
2023-01-01;1700;0;964,5;1009,7;965,8;964,5;3607,9;35;32,4;21;33,4;30,8;22,7;19,6;13;55;47;51;62;3,5;1,8;
2023-01-01;1800;0;963,6;1008,8;964,5;963,6;2891,9;35;32,3;19,9;33;31,2;21,3;19,1;13;52;46;48;82;3,5;1,1;
2023-01-01;1900;0;963,4;1008,9;963,9;963,4;1387,5;34;30,7;21,3;32,4;30,6;21,8;19,5;13;59;47;57;135;5,5;3;
2023-01-01;2000;0;963,1;1008,8;963,6;963;454,2;32;29,3;22,2;30,7;29,3;22,3;21,1;12,9;66;57;66;133;4,7;2,2;
2023-01-01;2100;0;962,5;1008,3;963,3;962,4;100,5;31;27,9;22,6;29,3;27,9;22,6;22;12,8;73;66;73;138;3,7;1,9;
2023-01-01;2200;0;963;1008,9;963;962,3;214,7;30;27,6;22,6;28,8;27,6;22,8;22,1;12,8;74;67;74;136;3,1;1,4;
2023-01-01;2300;0;963,7;1009,9;963,7;963;-1,1;28;26,2;23,1;27,6;26;23,1;22,5;12,8;83;74;83;70;3;1;
2023-01-02;0000;0;964,5;1010,9;964,5;963,7;-3,5;27;25,2;23;26,2;25,2;23,2;22,8;12,8;87;83;87;283;1,9;1;
2023-01-02;0100;0;965,3;1011,8;965,3;964,5;-3,5;26;24,4;22,7;25,2;24,4;23,2;22,5;12,8;90;87;90;65;1,9;,4;
2023-01-02;0200;0;965,3;1011,9;965,4;965,2;-3,5;26;23,9;22,3;24,5;23,9;23,1;22,2;12,7;92;90;91;167;2,1;,9;
2023-01-02;0300;0;964,8;1011,4;965,3;964,8;-3,5;25;23,6;22,1;24,3;23,6;22,7;22,1;12,7;93;91;91;146;2,1;1,5;
2023-01-02;0400;0;964,5;1011,1;964,9;964,5;-3,5;25;23,7;22,3;23,9;23,1;22,6;21,8;12,7;94;91;92;54;2,1;,7;
2023-01-02;0500;0;963,8;1010,5;964,5;963,8;-3,5;24;23,1;21,7;23,7;22,9;22,3;21,7;12,7;93;92;92;107;2,6;1,5;
2023-01-02;0600;0;963,9;1010,6;963,9;963,8;-3,5;24;23,1;21,8;23,3;22,5;21,9;21,2;12,7;93;91;92;29;2,6;1;
2023-01-02;0700;0;963,7;1010,5;963,9;963,6;-3,5;24;22,5;21,3;23,1;21,9;21,7;20,6;12,6;94;91;93;39;2,8;1,6;
2023-01-02;0800;0;964,3;1011,1;964,3;963,7;-3,5;23;22,5;21,2;22,5;22,1;21,3;20,8;12,6;93;92;93;31;2,8;1,6;
2023-01-02;0900;0;964,6;1011,4;964,6;964,3;23,4;23;22,3;21;22,6;22,2;21,3;20,9;12,6;93;92;93;56;2,6;1,4;
