Nome: BARRETOS
Codigo Estacao: A748
Latitude: -20.55916666
Longitude: -48.54499999
Altitude: 534.36
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2023-01-01;0000;0;954,3;1015,5;954,4;953,9;-1,5;24;21,7;19,5;21,9;21,7;19,6;19,5;12,7;87;87;87;74;1,9;,6;
2023-01-01;0100;0;954,5;1015,8;954,5;954,2;-2;24;21,3;19,1;21,7;21,2;19,4;19;12,7;87;87;87;229;1,8;,6;
2023-01-01;0200;0;954,4;1015,7;954,7;954,4;-2,2;23;21,1;18,9;21,4;21,1;19,1;18,9;12,7;87;87;87;253;1,3;,4;
2023-01-01;0300;0;953,7;1015;954,4;953,7;-2,1;23;21;18,9;21,2;20,9;19,1;18,7;12,7;88;87;87;127;2,1;1,1;
2023-01-01;0400;0;953,3;1014,7;953,8;953,3;-2,3;22;20,3;18,1;21;20,3;18,9;18,1;12,7;88;87;88;216;2,1;,4;
2023-01-01;0500;0;952,7;1014,2;953,3;952,7;-2,7;22;19,6;17,5;20,3;19,6;18,2;17,5;12,6;88;87;88;234;1,3;,1;
2023-01-01;0600;0;952,4;1013,9;952,7;952,4;-2,3;21;19,4;17,4;19,7;19,4;17,6;17,3;12,6;88;88;88;101;1,3;,6;
2023-01-01;0700;0;952,5;1014,1;952,6;952,4;-2,7;21;19,2;17,2;19,5;19,2;17,5;17,2;12,6;88;88;88;82;1,6;,9;
2023-01-01;0800;0;952,8;1014,5;952,8;952,5;-2,6;21;18,9;16,9;19,3;18,9;17,3;16,9;12,6;88;88;88;null;1,6;,1;
2023-01-01;0900;,2;953,5;1015,1;953,5;952,7;10,7;20;19,4;17,5;19,4;18,9;17,5;17;12,5;88;88;88;133;1,6;,6;
